##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	sampleDat6_2_fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1000000
Total Bases	101 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1112	74-75	0.19749913762976945
1112	76-77	0.18098835629765375
1112	78-79	0.16322099772407483
1112	80-81	0.23301052071587236
1112	82-83	0.12612699925573168
1112	84-85	0.19183408216807862
1112	86-87	0.15361699322431832
1112	88-89	0.11997689028427061
1112	90-91	0.11181112717801867
1112	92-93	0.14170560792944187
1112	94-95	0.2054870089001355
1112	96-97	0.1468817607513735
1112	98-99	0.10566662626774104
1112	100-101	-0.7898455571089436
1113	1	1.8373626840570267
1113	2	4.757061974316812
1113	3	3.758625684603203
1113	4	1.1120463824311742
1113	5	0.20978206966726276
1113	6	0.0737226943648821
1113	7	-0.13741721074118374
1113	8	-0.09202118282242822
1113	9	-0.47874286595911286
1113	10-11	-0.18146124222359816
1113	12-13	-0.2614965292865392
1113	14-15	-0.27159269766740124
1113	16-17	-0.3261534045865133
1113	18-19	-0.3555955425849646
1113	20-21	-0.6594291404533621
1113	22-23	-0.38564614063691494
1113	24-25	-0.38429989030652933
1113	26-27	-0.3125890372625193
1113	28-29	-0.26317884877804687
1113	30-31	-0.45613107304212974
1113	32-33	-0.36881737341398235
1113	34-35	-0.5020557995355688
1113	36-37	-0.3913004213468554
1113	38-39	-0.350220598907093
1113	40-41	-0.48843165042433156
1113	42-43	-0.44694722484978655
1113	44-45	-0.2662665092335672
1113	46-47	-0.3599844947465485
1113	48-49	-0.4165677148230884
1113	50-51	-0.5050750767873993
1113	52-53	-0.41283065682468134
1113	54-55	-0.5358083695951947
1113	56-57	-0.4051727967194836
1113	58-59	-0.4913732560771251
1113	60-61	-0.592694014295958
1113	62-63	-0.9359172067448611
1113	64-65	-0.6418665150065621
1113	66-67	-0.5821896935447128
1113	68-69	-0.445170850104617
1113	70-71	-0.4823647341615427
1113	72-73	-0.393005487718014
1113	74-75	-0.46131239290012616
1113	76-77	-0.42776997479413126
1113	78-79	-0.2757096337950955
1113	80-81	-0.33455784653957465
1113	82-83	-0.26623021405011116
1113	84-85	-0.27507571788571283
1113	86-87	-0.4050948630774265
1113	88-89	-0.24738973752887716
1113	90-91	-0.26569074077977817
1113	92-93	-0.16018551254636648
1113	94-95	-0.2716351405962669
1113	96-97	-0.3395426691479031
1113	98-99	-0.27866853019240523
1113	100-101	-1.4242138884996045
1114	1	2.01782765291998
1114	2	4.775446914040511
1114	3	3.923552073286068
1114	4	1.225658141814904
1114	5	0.47523028069588946
1114	6	0.128142275647825
